nFID, Class
899, 1
902, 1
901, 1
906, 1
904, 1
911, 1
907, 1
908, 1
913, 1
912, 1
914, 1
920, 1
915, 1
916, 1
919, 1
922, 1
923, 1
924, 1
928, 1
931, 1
933, 1
936, 1
934, 1
938, 1
939, 1
943, 1
940, 1
947, 1
946, 1
948, 1
953, 1
956, 1
954, 1
955, 1
957, 1
962, 1
966, 1
968, 1
967, 1
969, 1
970, 1
974, 1
975, 1
979, 1
978, 1
981, 1
980, 1
982, 1
986, 1
984, 1
985, 1
990, 1
991, 1
992, 1
994, 1
995, 1
997, 1
1000, 1
1001, 1
999, 1
1002, 1
1006, 1
1005, 1
1010, 1
1007, 1
1014, 1
1011, 1
1016, 1
1015, 1
1017, 1
1022, 1
1019, 1
1020, 1
1031, 1
1036, 1
1032, 1
1035, 1
1038, 1
1037, 1
1044, 1
1041, 1
1042, 1
1046, 1
1045, 1
1047, 1
1055, 1
1054, 1
1056, 1
1058, 1
1061, 1
1060, 1
1066, 1
1063, 1
1065, 1
1067, 1
1073, 1
1074, 1
1072, 1
1076, 1
1083, 1
1081, 1
1086, 1
1087, 1
1084, 1
1085, 1
1090, 1
1088, 1
1091, 1
1089, 1
1094, 1
1092, 1
1096, 1
1093, 1
1097, 1
1100, 1
1099, 1
1101, 1
1103, 1
1104, 1
1108, 1
1106, 1
1107, 1
1111, 1
1117, 1
1114, 1
1118, 1
1120, 1
1125, 1
1124, 1
1129, 1
1128, 1
1131, 1
1134, 1
1135, 1
1136, 1
1137, 1
1140, 1
1151, 1
1152, 1
1154, 1
1156, 1
1159, 1
1160, 1
1164, 1
1162, 1
1167, 1
1165, 1
1166, 1
1163, 1
1168, 1
1171, 1
1172, 1
1178, 1
1180, 1
1176, 1
1177, 1
1182, 1
1179, 1
1183, 1
1187, 1
1190, 1
1188, 1
1191, 1
1192, 1
1197, 1
1198, 1
1204, 1
1200, 1
1199, 1
1205, 1
1203, 1
1206, 1
1210, 1
1212, 1
1209, 1
1213, 1
1215, 1
1221, 1
1224, 1
1230, 1
1229, 1
1231, 1
1232, 1
1233, 1
1236, 1
1238, 1
1239, 1
1243, 1
1249, 1
1244, 1
1247, 1
1246, 1
1250, 1
1248, 1
1251, 1
1255, 1
1257, 1
1253, 1
1254, 1
1256, 1
1260, 1
1264, 1
1261, 1
1263, 1
1266, 1
1272, 1
1271, 1
1273, 1
1275, 1
1279, 1
1274, 1
1276, 1
1280, 1
1277, 1
1278, 1
1281, 1
1284, 1
1283, 1
1286, 1
1288, 1
1294, 1
1292, 1
1295, 1
1293, 1
1296, 1
1297, 1
1302, 1
1298, 1
1303, 1
1305, 1
1309, 1
1308, 1
1312, 1
1311, 1
1317, 1
1315, 1
1316, 1
1320, 1
1319, 1
1321, 1
1322, 1
1325, 1
1332, 1
1329, 1
1331, 1
1334, 1
1333, 1
1336, 1
1340, 1
1337, 1
1338, 1
1342, 1
1349, 1
1355, 1
1358, 1
1362, 1
1361, 1
1357, 1
1360, 1
1363, 1
1364, 1
1367, 1
1368, 1
1370, 1
1373, 1
1377, 1
1374, 1
1378, 1
1383, 1
1387, 1
1391, 1
1386, 1
1392, 1
1393, 1
1399, 1
1398, 1
1400, 1
1401, 1
1407, 1
1405, 1
1408, 1
1409, 1
1414, 1
1410, 1
1412, 1
1413, 1
1417, 1
1416, 1
1418, 1
1421, 1
1423, 1
1424, 1
1429, 1
1426, 1
1427, 1
1430, 1
1428, 1
1432, 1
1435, 1
1431, 1
1437, 1
1433, 1
1434, 1
1436, 1
1438, 1
1444, 1
1441, 1
1442, 1
1445, 1
1446, 1
1450, 1
1452, 1
1451, 1
1453, 1
1455, 1
1459, 1
1454, 1
1456, 1
1458, 1
1457, 1
1461, 1
1464, 1
1462, 1
1467, 1
1463, 1
1465, 1
1466, 1
1468, 1
1470, 1
1469, 1
1475, 1
1473, 1
1482, 1
1480, 1
1485, 1
1487, 1
1486, 1
1488, 1
1489, 1
1491, 1
1497, 1
1492, 1
1493, 1
1496, 1
1495, 1
1498, 1
1504, 1
1501, 1
1507, 1
1512, 1
1513, 1
1510, 1
1511, 1
1515, 1
1516, 1
1520, 1
1518, 1
1519, 1
1525, 1
1522, 1
1523, 1
1528, 1
1526, 1
1532, 1
1530, 1
1534, 1
1536, 1
1535, 1
1538, 1
1537, 1
1541, 1
1543, 1
1540, 1
1542, 1
1545, 1
1547, 1
1544, 1
1546, 1
1550, 1
1548, 1
1549, 1
1554, 1
1555, 1
1556, 1
1557, 1
1553, 1
1552, 1
1559, 1
1564, 1
1566, 1
1568, 1
1579, 1
1574, 1
1575, 1
1581, 1
1582, 1
1587, 1
1583, 1
1584, 1
1585, 1
1591, 1
1597, 1
1602, 1
1603, 1
1606, 1
1609, 1
1604, 1
1605, 1
1607, 1
1608, 1
1610, 1
1611, 1
1616, 1
1612, 1
1615, 1
1620, 1
1621, 1
1622, 1
1625, 1
1623, 1
1627, 1
1630, 1
1626, 1
1628, 1
1632, 1
1629, 1
1631, 1
1633, 1
1636, 1
1634, 1
1640, 1
1641, 1
1644, 1
1647, 1
1648, 1
1649, 1
1653, 1
1659, 1
1656, 1
1662, 1
1658, 1
1660, 1
1661, 1
1665, 1
1666, 1
1670, 1
1667, 1
1671, 1
1674, 1
1672, 1
1677, 1
1673, 1
1678, 1
1676, 1
1675, 1
1680, 1
1682, 1
1681, 1
1683, 1
1687, 1
1692, 1
1693, 1
1690, 1
1691, 1
1695, 1
1696, 1
