average Silhouette Value = 0.233634

nFID			silhouette_val
815			-0.089164
816			0.182682
817			0.199713
818			0.022050
819			0.271067
820			0.346397
821			0.387274
822			-0.000769
823			0.212325
824			0.263817
825			0.482758
826			0.460854
827			0.146237
828			0.158642
829			0.420262
830			0.272221
831			-0.264314
832			0.454070
833			0.296898
834			0.529497
835			0.481396
836			0.372717
837			0.131547
838			0.361352
839			0.469297
840			0.244767
841			0.256101
842			0.237206
843			0.426280
844			0.446112
845			0.423949
846			0.272624
847			0.059781
848			0.411431
849			0.294679
850			0.431826
851			0.320840
852			0.139623
853			0.461905
854			0.022282
855			0.437119
856			0.492306
857			0.450245
858			0.471045
859			0.367755
860			0.055902
861			0.458206
862			0.333867
863			0.504915
864			-0.076043
865			0.019096
866			0.173687
867			0.470776
868			0.457746
869			0.217128
870			0.216939
871			0.433564
872			0.267730
873			-0.477306
874			0.179307
875			0.378247
876			-0.223583
877			0.322793
878			0.171988
879			0.140745
880			0.317260
881			0.290315
882			0.049565
883			0.348901
884			0.131881
885			0.273655
886			0.139606
887			0.527043
888			0.251388
889			-0.013068
890			0.440058
891			0.289646
892			0.349816
893			0.434747
894			0.223926
895			0.065326
896			0.392871
897			0.472870
898			0.248437
899			0.305640
900			0.405872
901			0.197532
902			0.330674
903			0.441659
904			0.208276
905			0.343914
906			0.086131
907			0.400869
908			0.027037
909			0.543976
910			0.385683
911			0.278728
912			0.356584
913			0.185475
914			0.023750
915			0.371063
916			0.140492
917			0.528822
918			0.161011
919			0.383518
920			0.085912
921			0.462229
922			0.166875
923			0.116497
924			0.200219
925			0.389963
926			0.389575
927			0.432099
928			0.054164
929			0.222106
930			0.471623
931			0.374641
932			-0.035660
933			-0.031334
934			0.019132
935			0.503942
936			0.126978
937			0.360707
938			0.172057
939			0.286293
940			0.397694
941			0.096284
942			0.564854
943			0.244503
944			0.522616
945			-0.035097
946			0.488357
947			0.138848
948			0.353166
949			0.512799
950			0.531522
951			0.504378
952			0.388528
953			0.464711
954			0.384468
955			0.097177
956			0.462705
957			0.392153
958			-0.050294
959			0.298534
960			0.074097
961			0.281483
962			0.257231
963			0.218347
964			0.388338
965			0.056641
966			0.345436
967			0.226655
968			0.276929
969			0.241556
970			0.226213
971			0.536908
972			0.309071
973			0.515775
974			0.332351
975			0.088861
976			0.527156
977			-0.085074
978			0.170231
979			0.415477
980			0.434715
981			0.425195
982			0.398372
983			0.230748
984			0.323453
985			0.190108
986			0.452857
987			0.508462
988			0.564731
989			0.299962
990			0.341177
991			-0.012461
992			0.085194
993			0.180607
994			0.398972
995			0.341499
996			0.293682
997			0.440239
998			0.315522
999			0.257723
1000			0.298103
1001			0.337230
1002			0.132560
1003			0.552732
1004			0.072759
1005			0.144681
1006			0.130352
1007			0.260461
1008			0.386284
1009			-0.098285
1010			0.005788
1011			0.380683
1012			0.189528
1013			-0.157589
1014			0.380970
1015			0.211859
1016			0.122351
1017			0.308063
1018			0.390180
1019			0.459756
1020			0.350162
1021			0.246499
1022			0.421048
1023			0.280127
1024			0.541955
1025			-0.008153
1026			0.376819
1027			0.073650
1028			0.530269
1029			0.288962
1030			-0.108418
1031			0.477717
1032			0.066502
1033			0.226512
1034			0.204833
1035			0.293719
1036			0.022462
1037			-0.123650
1038			0.286058
1039			0.226570
1040			0.165286
1041			0.374113
1042			0.375149
1043			0.160997
1044			0.100843
1045			0.282405
1046			-0.036693
1047			0.070706
1048			0.271989
1049			0.531570
1050			0.328529
1051			0.065316
1052			0.516239
1053			0.171595
1054			0.085489
1055			0.207511
1056			0.464565
1057			-0.181095
1058			0.331351
1059			-0.152645
1060			0.493584
1061			0.314504
1062			-0.115115
1063			0.323309
1064			0.466377
1065			0.144073
1066			0.254896
1067			0.349998
1068			-0.505284
1069			0.331185
1070			-0.158520
1071			-0.191497
1072			-0.039648
1073			0.184194
1074			0.006016
1075			0.134518
1076			0.427637
1077			0.494926
1078			-0.089570
1079			0.153859
1080			0.257711
1081			0.142445
1082			0.409978
1083			0.047211
1084			0.148225
1085			0.467965
1086			0.211405
1087			0.321459
1088			0.454186
1089			0.320795
1090			0.141142
1091			-0.226907
1092			-0.067308
1093			-0.171648
1094			0.147442
1095			0.132937
1096			0.471750
1097			0.055635
1098			0.558214
1099			-0.184284
1100			0.257262
1101			0.478846
1102			-0.023599
1103			0.215198
1104			0.399951
1105			0.208779
1106			0.200786
1107			0.140273
1108			0.097671
1109			0.143568
1110			0.165791
1111			-0.048321
1112			0.395695
1113			0.469049
1114			0.304662
1115			-0.168204
1116			0.443495
1117			0.402321
1118			0.391970
1119			-0.027454
1120			0.456214
1121			0.142643
1122			0.154805
1123			0.174673
1124			0.308138
1125			0.335276
1126			-0.311033
1127			0.075369
1128			0.505829
1129			0.231140
1130			0.339495
1131			0.395065
1132			0.182090
1133			0.385826
1134			0.411661
1135			0.374192
1136			0.227452
1137			0.413007
1138			0.285283
1139			0.288905
1140			0.323171
1141			-0.190447
1142			0.157441
1143			0.064913
1144			0.086290
1145			0.192939
1146			0.307202
1147			0.354246
1148			0.179127
1149			0.175636
1150			-0.085340
1151			0.421866
1152			0.025337
1153			0.249379
1154			0.147824
1155			0.298880
1156			0.483476
1157			0.005116
1158			0.191561
1159			0.256454
1160			0.387526
1161			-0.041132
1162			0.359902
1163			-0.419220
1164			0.395158
1165			0.033095
1166			-0.069279
1167			0.150126
1168			0.172137
1169			0.145397
1170			-0.010511
1171			0.162591
1172			0.201666
1173			-0.382469
1174			0.182836
1175			0.198297
1176			0.349059
1177			0.371196
1178			0.420585
1179			0.342754
1180			0.367512
1181			0.058482
1182			0.163225
1183			0.415519
1184			-0.428952
1185			0.419922
1186			0.213208
1187			0.044557
1188			0.420461
1189			0.218947
1190			0.024091
1191			-0.078529
1192			0.436851
1193			0.292768
1194			0.106301
1195			0.147850
1196			0.431975
1197			0.246897
1198			0.048263
1199			0.277909
1200			0.266913
1201			0.176920
1202			0.306473
1203			0.360915
1204			0.405025
1205			0.194659
1206			0.233477
1207			0.421433
1208			0.213484
1209			0.427688
1210			0.165473
1211			0.546990
1212			0.108208
1213			0.185411
1214			0.302939
1215			0.024613
1216			0.168604
1217			0.447875
1218			-0.174754
1219			0.302551
1220			-0.002821
1221			0.143024
1222			0.518749
1223			0.174313
1224			0.216986
1225			0.439025
1226			0.378314
1227			0.502244
1228			0.280819
1229			0.105015
1230			0.366752
1231			0.508760
1232			0.445328
1233			0.013149
1234			0.351609
1235			0.514184
1236			0.447635
1237			-0.045448
1238			0.189867
1239			0.303261
1240			0.247367
1241			0.300270
1242			0.128269
1243			0.101097
1244			0.132368
1245			0.097897
1246			0.160622
1247			0.425979
1248			0.263676
1249			0.396946
1250			-0.029007
1251			-0.054741
1252			0.060771
1253			0.127980
1254			0.210432
1255			0.102628
1256			-0.069682
1257			0.281241
1258			0.277323
1259			0.063361
1260			0.189656
1261			0.439395
1262			0.386221
1263			0.338766
1264			0.252960
1265			0.460935
1266			0.342121
1267			0.557898
1268			0.350222
1269			0.355519
1270			0.108454
1271			0.207417
1272			0.312929
1273			0.332402
1274			0.237741
1275			0.365362
1276			0.451097
1277			0.095699
1278			0.409080
1279			0.383230
1280			0.396489
1281			0.054438
1282			0.272369
1283			0.149966
1284			0.335884
1285			0.245353
1286			0.336162
1287			0.473754
1288			0.343250
1289			0.268550
1290			0.114354
1291			0.314858
1292			0.359730
1293			0.244189
1294			0.224389
1295			-0.507057
1296			0.330213
1297			0.197702
1298			0.088573
1299			0.394400
1300			0.148083
1301			-0.035456
1302			0.400313
1303			0.030752
1304			0.368407
1305			0.267604
1306			0.161008
1307			0.138906
1308			0.078789
1309			0.058834
1310			-0.055326
1311			0.048060
1312			0.163423
1313			-0.113326
1314			0.167485
1315			0.329858
1316			0.317329
1317			0.385738
1318			0.383375
1319			0.190453
1320			0.389962
1321			0.336352
1322			0.370565
1323			0.285432
1324			-0.041998
1325			-0.014385
1326			0.454626
1327			0.089289
