nFID, Class
1186, 1
1189, 1
1195, 1
1196, 1
1201, 1
1207, 1
1214, 1
1223, 1
1226, 1
1227, 1
1269, 1
1289, 1
1290, 1
1295, 1
1306, 1
1307, 1
1318, 1
1323, 1
1335, 1
1339, 1
1341, 1
1344, 1
1360, 1
1371, 1
1372, 1
1376, 1
1385, 1
1388, 1
1411, 1
1425, 1
1447, 1
1446, 1
1448, 1
1449, 1
1451, 1
1472, 1
1478, 1
1500, 1
1503, 1
1508, 1
1531, 1
1551, 1
1552, 1
1556, 1
1561, 1
1562, 1
1563, 1
1564, 1
1570, 1
1571, 1
1589, 1
1594, 1
1595, 1
1597, 1
1598, 1
1599, 1
1613, 1
1617, 1
1621, 1
1628, 1
1624, 1
1638, 1
1642, 1
1643, 1
1645, 1
1646, 1
1651, 1
1652, 1
1654, 1
1655, 1
1668, 1
1686, 1
1688, 1
1697, 1
1699, 1
1707, 1
1712, 1
1715, 1
1727, 1
1740, 1
1742, 1
1750, 1
1775, 1
1785, 1
1793, 1
1796, 1
1799, 1
1804, 1
1817, 1
1818, 1
1832, 1
1836, 1
1839, 1
1840, 1
1852, 1
1854, 1
1858, 1
1859, 1
1876, 1
1884, 1
1885, 1
1901, 1
146, 2
148, 2
161, 2
260, 2
261, 2
262, 2
271, 2
287, 2
304, 2
314, 2
335, 2
381, 2
388, 2
402, 2
406, 2
424, 2
429, 2
440, 2
442, 2
444, 2
452, 2
472, 2
474, 2
481, 2
482, 2
520, 2
545, 2
546, 2
575, 2
593, 2
619, 2
628, 2
669, 2
671, 2
676, 2
677, 2
731, 2
739, 2
741, 2
756, 2
800, 2
807, 2
834, 2
835, 2
839, 2
917, 2
925, 2
937, 2
942, 2
944, 2
950, 2
951, 2
971, 2
973, 2
976, 2
987, 2
988, 2
1003, 2
1024, 2
1028, 2
1049, 2
1052, 2
1098, 2
1175, 2
1185, 2
1211, 2
1218, 2
1217, 2
1222, 2
1235, 2
1267, 2
1343, 2
1345, 2
1350, 2
1381, 2
1415, 2
1460, 2
1474, 2
1477, 2
1479, 2
1483, 2
1494, 2
1505, 2
1524, 2
1527, 2
1539, 2
1558, 2
1593, 2
1657, 2
1717, 2
1719, 2
1737, 2
1755, 2
1774, 2
1779, 2
1782, 2
1807, 2
1820, 2
1829, 2
1856, 2
1886, 2
1903, 2
5, 3
7, 3
8, 3
9, 3
36, 3
42, 3
48, 3
53, 3
78, 3
93, 3
100, 3
101, 3
119, 3
122, 3
123, 3
126, 3
130, 3
140, 3
144, 3
151, 3
154, 3
160, 3
170, 3
171, 3
175, 3
177, 3
190, 3
202, 3
203, 3
212, 3
217, 3
221, 3
225, 3
230, 3
231, 3
248, 3
255, 3
257, 3
259, 3
263, 3
266, 3
267, 3
278, 3
281, 3
291, 3
311, 3
313, 3
343, 3
346, 3
